Participant ID,Average Response Time,Total Steps,Shortest Response Time,Indicated Action at Shortest Response Time,Longest Response Time,Indicated Action at Longest Response Time
2P42HR7XK1,3.18032673785561,19,0.00045561790466308594,1,10.000288963317871,0
TH0SVNEAG4,2.8594775199890137,13,0.30661869049072266,2,10.000598430633545,1
X5JDIVQL2S,2.373722724914551,25,0.012795686721801758,0,5.000470161437988,0
G1TYHFCA3L,1.416038990020752,2,0.9253096580505371,2,1.9067683219909668,2
21OKU05A6S,1.72979448391841,13,0.0395357608795166,0,10.00001311302185,1
QGLJS7Z59N,0.9928816767299876,17,0.3641068935394287,2,3.177692174911499,2
T2GTJK4N8H,1.616674582163493,3,1.0908362865447998,2,2.614518404006958,1
KZEKH3NU6Q,1.8483519077301025,25,0.011557817459106445,0,6.742293119430542,2
L40LYP4YT4,3.413350608613756,9,0.13488388061523438,2,10.000105857849121,2
SBHTOE5ZRC,2.5067044576009114,15,0.09860920906066895,0,10.000190019607544,0
1V93D2KMM4,3.749783674875895,15,0.6028146743774414,2,10.024638175964355,2
18QBRC55IG,2.401576975117559,23,0.03975677490234375,1,10.000363826751709,1
5IVHGQOR4X,1.7213903999328612,25,0.007882356643676758,1,10.000393867492676,2
NIJCA67K5C,2.3024503101002085,22,0.23659396171569824,0,10.000296354293823,2
TEPCWF8SJY,1.5742203508104597,7,0.07088708877563477,2,6.411139011383057,1
FY1I8O7OFC,1.6180537462234497,20,0.0631864070892334,2,10.000156164169312,0
G1Q8Z7SP9W,1.5856549739837646,1,1.5856549739837646,2,1.5856549739837646,2
7EU93LG3A7,1.323185920715332,2,0.7577862739562988,2,1.8885855674743652,2
ADZ56933ST,0.8152225017547607,1,0.8152225017547607,2,0.8152225017547607,2
S1O8EDUUJH,3.1908257007598877,1,3.1908257007598877,2,3.1908257007598877,2
AMT4QN8064,1.6452736568450927,25,0.016257762908935547,1,5.000414848327637,2
MK38NPLK7Q,1.8449927965799968,12,0.0014371871948242188,0,6.693308353424072,2
NY0XLHM6NP,1.9226185304147225,27,0.04672527313232422,1,5.000389814376831,1
XGPA4KZMMN,1.9040783246358235,15,0.5613515377044678,2,10.000116109848022,0
8RCP0NCX0S,0.7741129398345947,1,0.7741129398345947,2,0.7741129398345947,2
HU87ADTCID,1.4490069909529253,22,0.3845996856689453,2,6.443579196929932,2
EO5FV7JVXW,1.7930337905883789,15,5.125999450683594e-05,0,5.000487565994263,1
E3E6O0JJ8S,2.589714527130127,1,2.589714527130127,2,2.589714527130127,2
PYN111BG2H,7.707281529903412,4,0.8284060955047607,2,10.000396490097046,2
YQ0B06OZK2,5.78935980796814,1,5.78935980796814,2,5.78935980796814,2
N0Q3RT9YT1,1.8390286487081777,23,0.011110544204711914,0,10.000429630279541,1
4FTZBDY9HX,4.960539804564582,18,0.0001366138458251953,0,10.000433683395386,1
VRSRPVJWPF,1.5043310832977295,25,0.1704411506652832,2,5.000046253204346,1
156X9L9JNO,1.0732401943206786,25,0.015458345413208008,2,5.00042200088501,0
7960PDG4PL,8.559931182861328,5,2.7986791133880615,2,10.000491380691528,2
4XRPDRE1D6,5.027785110473633,5,6.270408630371094e-05,1,10.024794816970825,2
AO6ZCS03RV,2.0510600319615118,27,8.153915405273438e-05,0,10.000197172164917,2
T80HYM8GX1,2.5164395809173583,10,0.025927305221557617,0,5.923004150390625,1
06B7L6IS5H,3.1161575133983908,13,0.029667139053344727,1,10.000051498413086,2
OU1QMAL4VT,1.3443126678466797,1,1.3443126678466797,2,1.3443126678466797,2
ZQD3AALCM7,2.5767123699188232,1,2.5767123699188232,1,2.5767123699188232,1
53METRPKNR,2.8043444037437437,20,0.453794002532959,1,9.527507781982422,0
W2P4BSWMKS,1.412309169769287,1,1.412309169769287,2,1.412309169769287,2
CS6NY4XR8I,1.0170382618904115,20,0.07559347152709961,2,2.1208839416503906,0
KCJ99IVOXO,7.640748977661133,10,0.921527624130249,2,10.002364158630371,2
FBZRD8KRHJ,3.7815771102905273,1,3.7815771102905273,2,3.7815771102905273,2
A038EDUKFB,0.5845580101013184,1,0.5845580101013184,2,0.5845580101013184,2
NSB69P0T7L,1.2893041451772054,15,0.10839056968688965,1,5.000155925750732,1
QP5EO7V1RL,2.1223072572187944,22,0.00034689903259277344,0,10.000118017196655,0
96M6ACQBWK,2.259937374215377,19,0.00010585784912109375,2,10.000413417816162,1
NXUXF1WXWX,5.177212527820042,14,0.5516364574432373,1,10.00409746170044,1
NTI016S2L2,4.438238859176636,2,4.114031791687012,2,4.76244592666626,2
0PDLGLUUZQ,3.0765391190846763,15,0.5983541011810303,1,5.001195907592773,2
TLY7619J8U,10.000685423612595,8,10.000005722045898,2,10.003841161727905,2
QE5X1GYL7R,4.933741289026597,17,5.2928924560546875e-05,1,10.010223150253296,2
WMC391SR95,5.000220358371735,8,5.000027418136597,2,5.000566005706787,2
H0084S2IRF,2.332786979675293,25,0.018583059310913086,2,5.000314474105835,1
D8HML0ZBMH,2.8789888620376587,2,2.6212282180786133,2,3.136749505996704,2
YHQZ4K0HBK,2.5595182350703647,7,0.02215123176574707,2,7.248704195022583,0
WGETKCYB5L,3.4684841632843018,1,3.4684841632843018,2,3.4684841632843018,2
9JVQKEDYDC,10.000026226043701,1,10.000026226043701,2,10.000026226043701,2
DDQU9Y7HOZ,2.4241020539227653,17,0.5108439922332764,0,8.228579998016357,0
JS8C6ZB52C,1.9652720451354981,15,0.39463329315185547,1,5.000239610671997,2
QD5S6REIDK,0.6950595378875732,1,0.6950595378875732,2,0.6950595378875732,2
JEH27LINK6,2.224088430404663,22,0.3668065071105957,2,10.000377893447876,2
EU2WQBCGB9,4.672138764308049,13,0.0062024593353271484,0,10.000444412231445,2
1SELDIASR7,2.687860107421875,25,0.011134147644042969,1,10.00020146369934,0
IWSI7JPNPN,2.5868112444877625,16,0.3889596462249756,2,5.000397443771362,2
JVI8SYCRRW,4.168246269226074,16,0.012268781661987305,2,10.001303434371948,2
L2UYDZLAX0,0.5916538238525391,1,0.5916538238525391,2,0.5916538238525391,2
X26CALYLFY,1.1873810291290283,1,1.1873810291290283,2,1.1873810291290283,2
8NMG8TXIDY,2.5403120517730713,2,1.5049874782562256,2,3.575636625289917,2
TW6M5I3Z35,6.482586145401001,1,6.482586145401001,2,6.482586145401001,2
VVPX4WE8V8,0.6094875335693359,1,0.6094875335693359,2,0.6094875335693359,2
PR6W9AAQWX,5.806055545806885,1,5.806055545806885,2,5.806055545806885,2
UYYJ7R8DG6,0.9634850025177002,18,0.3526878356933594,0,3.9729979038238525,2
6IT1THP68Y,2.3550979580198015,14,0.13598060607910156,2,10.000164270401001,2
HJ1CKAIISQ,0.4983900785446167,2,0.010383367538452148,2,0.9863967895507812,2
JFQDP27VI7,1.0395352190191096,22,0.3857882022857666,2,4.5349040031433105,0
3ZH2PV7CAJ,4.719460129737854,6,0.44793224334716797,1,10.001673698425293,1
